uuid_collectionneur;uuid_collection;statut_notice;titre_collection;activite_personne
201e2159-1301-479c-9a5d-58a9fa347796;41cb2035-9ead-4ee1-882d-65322c38d456;Publiée;Collection de Georges Labit;collectionneur
e9e4c67c-41f2-44ab-aa7e-7bae760dc13d;144a46b7-70eb-4e7d-8060-a174f9aee88c;Publiée;Collection de Georges de Tressan;collectionneur
91c42086-39ff-44cf-955e-8a27fe352546;4d912e16-050f-482a-b6b0-b84664a92b07;Publiée;Collection de Édouard Mène;collectionneur
e164c908-e5be-4ffe-b4e1-5eda287f450e;d8e9e2a4-fa78-412c-a0aa-77e8a67e8628;Publiée;Collection de Victor Collin de Plancy;collectionneur
ff40d855-f40d-409e-95cf-24f6a995c5f9;a2b6e5aa-d286-4cb1-99ea-6a610e5bc16f;Publiée;Collection d'Adrien Recouvreur;collectionneur
cd745090-c1d4-467e-8f25-223d8b5c108d;44ae45b6-395a-4ebf-bb73-0e7e5247c977;Publiée;Collection de Nicolas Beaujon;collectionneur
7e5adce9-e5ad-4d76-bee5-c6e35dae571e;36decccd-8e21-4699-ac2a-4b2e24cefbdd;Publiée;Collection de Louis Audouin-Dubreuil;collecteur
166f3e62-71ba-4bb0-b8de-89f06b73bd93;e9fc565d-4dc5-4db8-89f0-6b882849fa8a;Publiée;Collection de Maurice Penaud;collecteur
b24650e8-3b80-482a-b34b-55d789a69fba;9a490639-de85-4032-9393-ba76ef6473a9;Publiée;Collection de Philippe Burty;collectionneur
f46e90f0-0a1b-4342-a7b1-714df955efd7;f0325b8b-bf3b-46d1-a0bd-40290fcaa274;Publiée;Collection de Paul Louis Randon de Boisset;collectionneur
2f57ccb5-2abf-4288-954d-4ee7b3104e0e;7285a07c-0861-4fff-8bd6-ad8aa0ad8ca5;Publiée;Collection de James Tissot;collectionneur
c15e1df1-16e0-4d3a-9835-cd84a7fb8806;61dd3380-6c51-4871-a6fc-b993efb10c8f;Publiée;Collection de Henri Guérard;collectionneur
84159348-3148-424d-bd98-294c6a771d49;298cec0d-9210-406c-afc0-53f4c8872dce;Publiée;Collection de Victor Hugo;collectionneur
f7a4eec3-f3f8-4090-a66e-f4c88024103a;2b6a86ec-cc30-4dab-857b-4e1d9fc1e3e2;Publiée;Collection de Nélie Jacquemart et Edouard André;collectionneur
b30ce872-20a4-48ae-b0ae-8301c85d5405;2b6a86ec-cc30-4dab-857b-4e1d9fc1e3e2;Publiée;Collection de Nélie Jacquemart et Edouard André;collectionneur
b05d1c38-dd3f-4481-adc2-ea8712b314fb;4e9425f7-66c6-4f90-920e-1b4181f2d1fb;Publiée;Collection de Madame de Saint-Sauveur;
d3e6d470-1e1a-4821-ab94-d0dc54c50392;b9f8d30a-7817-481f-a32f-8342329a896a;Publiée;Collection d'Alphonse Hirsch;
9797dd9b-15c1-49e7-ba88-a6c0ad9eaf54;2d0e7321-e445-4107-b2b1-e3cd0be6ae8d;Publiée;Collection de Henri Maspero;collecteur
8280dfeb-3c4a-4d61-b195-05acaa1ac1de;68bacd22-cba1-440c-a99a-ba59e2d49b40;Publiée;Collection d'Hippolyte Fauverge de French;
5ede06d5-3589-4ce4-80a1-cba5e278b352;0f558ab3-a78b-485f-b22e-fe96796e4783;Publiée;Collection de Judith Gautier;collectionneur
6ad1cc77-1326-43aa-add3-9c890f1570ba;b5fbf81c-d6b8-4fa1-83d2-02f606fe0e73;Publiée;Collection d'Alexandrine Dècle;collectionneur
bafe13cc-fa47-4d0e-a4c8-50de5d5d6e66;420969a3-5168-4086-a7fe-49194dec84b2;Publiée;Collection de Albert d'Amade;collectionneur
b44e72d8-beef-4647-81fe-c49523e739ad;5322d2f2-0543-4c66-902d-00d98948145a;Publiée;Collection de Félix Leprince-Ringuet;
ce3517d2-e5b5-41fb-845d-84db3e4318c2;6af98114-d98d-4fb0-a231-c2e83d51a409;Publiée;Collection d'Armand Bohin;
a11d43f6-cda6-441b-91bc-8afb924bf3e9;ef0a8d37-39cb-4f00-b0b2-e502d056c438;Publiée;Collection de Jean-Baptiste Bourguignon de Fabregoules;
00376fda-f677-4ef8-af2e-aae06bfa01fb;ba9e8cac-9d7a-48a7-a957-b6b91a1f17c6;Publiée;Collection de Jean Chaffanjon;
9a3fdcb1-ebd2-4b66-b530-341253938278;6a3a93d6-ff3c-431e-b925-364a6f49449f;Publiée;Collection de Georges Collet;collectionneur
9701cd3f-bd32-4fb0-9264-cd762a3baa11;f734dde8-f1fd-4113-ba3d-0210c49314c9;Publiée;Collection de Jean-Baptiste Dauphin;
